ID,REGION_PARENT,REGION_CHILD,REGION_NAME,NX,NY
1,경기도,의정부시,장암동,61,130
2,경기도,의정부시,신곡2동,61,131
3,경기도,의정부시,송산1동,62,130
4,경기도,의정부시,송산3동,62,131
